Epoca,ECM
1,0.5326703382053101
2,0.20528633561142337
3,0.1514507702870346
4,0.1311115329457971
5,0.1190853808755066
6,0.11087451556038765
7,0.10482369777002284
8,0.10013932143168677
9,0.0963847597097443
10,0.09329632910117504
11,0.09070306172651646
12,0.08848800099434363
13,0.08656799260687478
14,0.08488227937095419
15,0.08338557063757762
16,0.08204356369108144
17,0.08082991579741387
18,0.07972413348702796
19,0.07871007163327329
20,0.07777485197591813
21,0.0769080763718737
22,0.07610124978693841
23,0.07534735371864285
24,0.07464052813100917
25,0.07397583209021728
26,0.07334906182658706
27,0.07275661099028932
28,0.0721953621496005
29,0.07166260162044884
30,0.07115595188320227
31,0.07067331739591516
32,0.07021284073152514
33,0.06977286677316058
34,0.06935191328254935
35,0.06894864657305114
36,0.06856186131612566
37,0.06819046372241432
38,0.06783345749168036
39,0.0674899320388904
40,0.06715905259024489
41,0.06684005181213824
42,0.0665322226935074
43,0.06623491245098839
44,0.06594751726848432
45,0.06566947771884263
46,0.0654002747459232
47,0.06513942611067249
48,0.06488648322542284
49,0.06464102831701579
50,0.06440267187208763
51,0.0641710503276331
52,0.06394582397728084
53,0.06372667506922244
54,0.06351330607577124
55,0.06330543811756001
56,0.06310280952763854
57,0.06290517454248269
58,0.06271230210826705
59,0.06252397479189087
60,0.0623399877871729
61,0.06216014800745101
62,0.06198427325657044
63,0.06181219147090445
64,0.061643740025683506
65,0.06147876509949627
66,0.061317121091357944
67,0.06115867008526351
68,0.06100328135761748
69,0.060850830923368834
70,0.060701201117100895
71,0.06055428020570268
72,0.060409962029591625
73,0.06026814566980282
74,0.060128735138529316
75,0.059991639090986607
76,0.059856770556721256
77,0.05972404668870426
78,0.059593388528760234
79,0.059464720788075694
80,0.05933797164169323
81,0.059213072536066516
82,0.059089958008879305
83,0.05896856552047658
84,0.05884883529635538
85,0.05873071018026837
86,0.05861413549759514
87,0.058499058928682054
88,0.05838543039193823
89,0.05827320193649799
90,0.0581623276442913
91,0.058052763541367444
92,0.05794446751830125
93,0.05783739925947206
94,0.05773152018094668
95,0.057626793376609704
96,0.05752318357209414
97,0.057420657085920944
98,0.05731918179714395
99,0.057218727118623434
100,0.05711926397493432
101,0.057020764783733996
102,0.05692320343932814
103,0.056826555297042954
104,0.05673079715696906
105,0.05663590724561133
106,0.05654186519403365
107,0.056448652011167666
108,0.05635625005112352
109,0.0562646429735557
110,0.05617381569639423
111,0.05608375434057249
112,0.055994446166705625
113,0.055905879504018825
114,0.05581804367215598
115,0.05573092889680718
116,0.055644526220350335
117,0.055558827408913436
118,0.05547382485740071
119,0.05538951149409203
120,0.05530588068642838
121,0.055222926149533315
122,0.0551406418588869
123,0.055059021968402254
124,0.05497806073495659
125,0.05489775245019397
126,0.054818091380191517
127,0.054739071713345626
128,0.05466068751661685
129,0.05458293270008842
130,0.05450580098959738
131,0.05442928590708682
132,0.05435338075818356
133,0.054278078626445216
134,0.05420337237365167
135,0.05412925464548523
136,0.054055717881934466
137,0.05398275433176049
138,0.05391035607037957
139,0.05383851502055041
140,0.05376722297528989
141,0.053696471622469634
142,0.053626252570607914
143,0.053556557375394
144,0.05348737756653548
145,0.05341870467455771
146,0.05335053025721705
147,0.05328284592522763
148,0.05321564336704016
149,0.05314891437243049
150,0.053082650854690105
151,0.05301684487124543
152,0.05295148864254192
153,0.05288657456906851
154,0.052822095246417115
155,0.05275804347829413
156,0.05269441228742897
157,0.05263119492434484
158,0.05256838487398094
159,0.05250597586018469
160,0.0524439618481012
161,0.052382337044530596
162,0.05232109589632024
163,0.052260233086899796
164,0.052199743531073775
165,0.05213962236820307
166,0.05207986495392772
167,0.05202046685058403
168,0.05196142381648691
169,0.051902731794253
170,0.05184438689833492
171,0.05178638540195046
172,0.051728723723574614
173,0.051671398413167875
174,0.05161440613830253
175,0.05155774367033307
176,0.051501407870754315
177,0.05144539567787744
178,0.05138970409392751
179,0.051334330172665754
180,0.05127927100761766
181,0.05122452372096846
182,0.051170085453179553
183,0.051115953353360166
184,0.051062124570414674
185,0.05100859624497078
186,0.05095536550209101
187,0.05090242944473979
188,0.05084978514799664
189,0.050797429653969044
190,0.05074535996737404
191,0.05069357305173822
192,0.05064206582617266
193,0.0505908351626657
194,0.05053987788384409
195,0.050489190761146004
196,0.05043877051335444
197,0.050388613805433365
198,0.05033871724762234
199,0.05028907739472795
200,0.050239690745578436
201,0.05019055374258464
202,0.05014166277136884
203,0.0500930141604231
204,0.05004460418075566
205,0.049996429045492334
206,0.049948484909400556
207,0.04990076786830464
208,0.04985327395836312
209,0.049805999155182114
210,0.04975893937274263
211,0.04971209046211002
212,0.04966544820991247
213,0.0496190083365601
214,0.04957276649418496
215,0.049526718264283384
216,0.049480859155036805
217,0.04943518459829392
218,0.04938968994619085
219,0.049344370467387134
220,0.04929922134290164
221,0.0492542376615167
222,0.049209414414736745
223,0.0491647464912689
224,0.04912022867100588
225,0.04907585561847634
226,0.049031621875744086
227,0.048987521854715464
228,0.048943549828828675
229,0.04889969992408582
